cultivar,exp,dai,isolate,species,genotype,spike,spikelets,above,central,below,total,sev
BRS 194,2,7,09tr092,F. meridionale,NIV,4,18,0,1,0,1,5.56
BRS 194,2,7,09tr092,F. meridionale,NIV,5,20,1,1,0,2,10
BRS 194,2,7,09tr092,F. meridionale,NIV,6,13,2,1,1,4,30.77
BRS 194,2,7,09tr092,F. meridionale,NIV,7,20,3,1,1,5,25
BRS 194,2,11,09tr092,F. meridionale,NIV,1,11,2,1,1,4,36.36
BRS 194,2,11,09tr092,F. meridionale,NIV,2,16,3,1,1,5,31.25
BRS 194,2,11,09tr092,F. meridionale,NIV,3,20,2,1,1,4,20
BRS 194,2,11,09tr092,F. meridionale,NIV,4,18,0,1,0,1,5.56
BRS 194,2,11,09tr092,F. meridionale,NIV,5,20,2,1,1,4,20
BRS 194,2,11,09tr092,F. meridionale,NIV,6,13,2,1,1,4,30.77
BRS 194,2,11,09tr092,F. meridionale,NIV,7,20,3,1,1,5,25
BRS 194,2,20,09tr092,F. meridionale,NIV,1,11,2,1,2,5,45.45
BRS 194,2,20,09tr092,F. meridionale,NIV,2,16,3,1,1,5,31.25
BRS 194,2,20,09tr092,F. meridionale,NIV,3,20,2,1,1,4,20
BRS 194,2,20,09tr092,F. meridionale,NIV,4,18,1,1,0,2,11.11
BRS 194,2,20,09tr092,F. meridionale,NIV,5,20,2,1,1,4,20
BRS 194,2,20,09tr092,F. meridionale,NIV,6,13,2,1,1,4,30.77
BRS 194,2,20,09tr092,F. meridionale,NIV,7,20,3,1,1,5,25
BRS Guamirim,1,4,09tr092,F. meridionale,NIV,1,18,0,1,0,1,5.556
BRS Guamirim,1,4,09tr092,F. meridionale,NIV,2,16,0,1,0,1,6.25
BRS Guamirim,1,4,09tr092,F. meridionale,NIV,3,17,0,1,0,1,5.882
BRS Guamirim,1,4,09tr092,F. meridionale,NIV,4,18,2,1,0,3,16.667
BRS Guamirim,1,4,09tr092,F. meridionale,NIV,5,17,1,1,0,2,11.765
BRS Guamirim,1,4,09tr092,F. meridionale,NIV,6,19,1,1,0,2,10.526
BRS Guamirim,1,4,09tr092,F. meridionale,NIV,7,13,1,1,0,2,15.385
BRS Guamirim,1,7,09tr092,F. meridionale,NIV,1,18,0,1,0,1,5.556
BRS Guamirim,1,7,09tr092,F. meridionale,NIV,2,16,1,1,0,2,12.5
BRS Guamirim,1,7,09tr092,F. meridionale,NIV,3,17,1,1,0,2,11.765
BRS Guamirim,1,7,09tr092,F. meridionale,NIV,4,18,2,1,0,3,16.667
BRS Guamirim,1,7,09tr092,F. meridionale,NIV,5,17,2,1,0,3,17.647
BRS Guamirim,1,7,09tr092,F. meridionale,NIV,6,19,1,1,1,3,15.789
BRS Guamirim,1,7,09tr092,F. meridionale,NIV,7,13,1,1,1,3,23.077
BRS Guamirim,1,11,09tr092,F. meridionale,NIV,1,18,0,1,0,1,5.556
BRS Guamirim,1,11,09tr092,F. meridionale,NIV,2,16,1,1,0,2,12.5
BRS Guamirim,1,11,09tr092,F. meridionale,NIV,3,17,1,1,0,2,11.765
BRS Guamirim,1,11,09tr092,F. meridionale,NIV,4,18,2,1,1,4,22.222
BRS Guamirim,1,11,09tr092,F. meridionale,NIV,5,17,2,1,0,3,17.647
BRS Guamirim,1,11,09tr092,F. meridionale,NIV,6,19,1,1,1,3,15.789
BRS Guamirim,1,11,09tr092,F. meridionale,NIV,7,13,1,1,1,3,23.077
BRS Guamirim,1,17,09tr092,F. meridionale,NIV,1,18,0,1,0,1,5.556
BRS Guamirim,1,17,09tr092,F. meridionale,NIV,2,16,1,1,0,2,12.5
BRS Guamirim,1,17,09tr092,F. meridionale,NIV,3,17,2,1,0,3,17.647
BRS Guamirim,1,17,09tr092,F. meridionale,NIV,4,18,2,1,1,4,22.222
BRS Guamirim,1,17,09tr092,F. meridionale,NIV,5,17,2,1,0,3,17.647
BRS Guamirim,1,17,09tr092,F. meridionale,NIV,6,19,1,1,1,3,15.789
BRS Guamirim,1,17,09tr092,F. meridionale,NIV,7,13,1,1,1,3,23.077
BRS Guamirim,1,24,09tr092,F. meridionale,NIV,1,18,0,1,3,4,22.222
BRS Guamirim,1,24,09tr092,F. meridionale,NIV,2,16,3,1,2,6,37.5
BRS Guamirim,1,24,09tr092,F. meridionale,NIV,3,17,3,1,2,6,35.294
BRS Guamirim,1,24,09tr092,F. meridionale,NIV,4,18,3,1,2,6,33.333
BRS Guamirim,1,24,09tr092,F. meridionale,NIV,5,17,2,1,3,6,35.294
BRS Guamirim,1,24,09tr092,F. meridionale,NIV,6,19,1,1,1,3,15.789
BRS Guamirim,1,24,09tr092,F. meridionale,NIV,7,13,1,1,3,5,38.462
BRS Guamirim,2,4,09tr092,F. meridionale,NIV,1,18,0,1,0,1,5.56
BRS Guamirim,2,4,09tr092,F. meridionale,NIV,2,18,0,1,0,1,5.56
BRS Guamirim,2,4,09tr092,F. meridionale,NIV,3,19,0,1,0,1,5.26
BRS Guamirim,2,4,09tr092,F. meridionale,NIV,4,19,0,1,0,1,5.26
BRS Guamirim,2,4,09tr092,F. meridionale,NIV,5,19,0,1,0,1,5.26
BRS Guamirim,2,4,09tr092,F. meridionale,NIV,6,17,0,1,0,1,5.88
BRS Guamirim,2,7,09tr092,F. meridionale,NIV,1,18,0,1,0,1,5.56
BRS Guamirim,2,7,09tr092,F. meridionale,NIV,2,18,0,1,0,1,5.56
BRS Guamirim,2,7,09tr092,F. meridionale,NIV,3,19,0,1,0,1,5.26
BRS Guamirim,2,7,09tr092,F. meridionale,NIV,4,19,0,1,0,1,5.26
BRS Guamirim,2,7,09tr092,F. meridionale,NIV,5,19,0,1,0,1,5.26
BRS Guamirim,2,7,09tr092,F. meridionale,NIV,6,17,0,1,0,1,5.88
BRS Guamirim,2,11,09tr092,F. meridionale,NIV,1,18,0,1,0,1,5.56
BRS Guamirim,2,11,09tr092,F. meridionale,NIV,2,18,0,1,1,2,11.11
BRS Guamirim,2,11,09tr092,F. meridionale,NIV,3,19,0,1,1,2,10.53
BRS Guamirim,2,11,09tr092,F. meridionale,NIV,4,19,0,1,0,1,5.26
BRS Guamirim,2,11,09tr092,F. meridionale,NIV,5,19,0,1,0,1,5.26
BRS Guamirim,2,11,09tr092,F. meridionale,NIV,6,17,0,1,1,2,11.76
BRS Guamirim,2,17,09tr092,F. meridionale,NIV,1,18,0,1,2,3,16.67
BRS Guamirim,2,17,09tr092,F. meridionale,NIV,2,18,0,1,1,2,11.11
BRS Guamirim,2,17,09tr092,F. meridionale,NIV,3,19,0,1,3,4,21.05
BRS Guamirim,2,17,09tr092,F. meridionale,NIV,4,19,0,1,2,3,15.79
BRS Guamirim,2,17,09tr092,F. meridionale,NIV,5,19,0,1,2,3,15.79
BRS Guamirim,2,17,09tr092,F. meridionale,NIV,6,17,1,1,2,4,23.53
BRS Guamirim,2,24,09tr092,F. meridionale,NIV,1,18,1,1,2,4,22.22
BRS Guamirim,2,24,09tr092,F. meridionale,NIV,2,18,2,1,3,6,33.33
BRS Guamirim,2,24,09tr092,F. meridionale,NIV,3,19,2,1,3,6,31.58
BRS Guamirim,2,24,09tr092,F. meridionale,NIV,4,19,1,1,2,4,21.05
